timestamp,group,tar,,tar_sex,alarm,flock,flock_sex,flock_proximity,aux_response,auxID
230727-065504,msf,raca,,m,1,raca,u,6,na,na
230727-065504,msf,raca,,m,1,vich,u,2,,na
230727-065504,msf,raca,,m,1,tuoc,u,1,,na
230727-065504,msf,raca,,m,1,xeru,u,1,,na
230727-082936,msf,gacy,,u,0,raca,u,,,na
230727-085514,solo,moni,,u,0,na,,,,na
230727-104229,pair,toch,,u,0,toch,u,9,,na
230728-082620,msf,euri,,m,0,raca,u,9,,na
230728-082620,msf,euri,,m,0,raca,u,9,,na
230728-082620,msf,euri,,m,0,raca,u,9,,na
230728-082620,msf,euri,,m,0,raca,u,9,,na
230728-082620,msf,euri,,m,0,raca,u,9,,na
230728-082620,msf,euri,,m,0,raca,u,9,,na
230728-090119,solo,moni,,u,0,na,,,,na
230728-110440,solo,myax,,f,0,na,,,,na
230728-115051,solo,moni,,u,0,na,,,,na
230729-090321,solo,livo,,u,0,na,,,,na
230729-101604,msf,thsy,,f,1,thar,f,,,na
230729-101604,msf,thsy,,f,1,myhy,m,,,na
230729-101604,msf,thsy,,f,1,myhy,f,,,na
230729-101604,msf,thsy,,f,1,foan,u,,,na
230729-101604,msf,thsy,,f,1,pifl,f,,,na
230729-101604,msf,thsy,,f,1,phpy,u,,,na
230729-101604,msf,thsy,,f,1,myga,u,,,na
230729-101604,msf,thsy,,f,1,cyli,m,,,na
230729-101604,msf,thsy,,f,1,myax,m,,,na
230729-101604,msf,thsy,,f,1,pyst,m,,,na
230729-101604,msf,thsy,,f,1,thsc,m,,,na
230729-101604,msf,thsy,,f,1,haru,f,,,na
230729-101604,msf,thsy,,f,1,euch,m,,,na
230729-101604,msf,thsy,,f,1,euch,f,,,na
230729-101604,msf,thsy,,f,1,toas,u,,,na
230729-115423,ssf,xigu,,u,0,xigu,u,,,na
230730-065941,msf,myca,,u,1,mysi,u,,,na
230730-065941,msf,myca,,u,1,raca,u,,,na
230730-065941,msf,myca,,u,1,raca,u,,,na
230730-065941,msf,myca,,u,1,raca,u,,,na
230730-065941,msf,myca,,u,1,raca,u,,,na
230730-065941,msf,myca,,u,1,raca,u,,,na
230730-065941,msf,myca,,u,1,mygr,u,,,na
230730-073916,ssf,thep,,u,0,thep,u,3,,na
230731-090508,msf,myax,,f,0,myax,m,,a,1
230731-090508,msf,myax,,f,0,myhy,m,,,na
230731-090508,msf,myax,,f,0,tasc,m,,,na
230731-090508,msf,myax,,f,0,tasc,f,,,na
230731-114522,msf,haru,,m,0,myax,m,,,na
230731-114522,msf,haru,,m,0,haru,f,,,na
230731-114522,msf,haru,,m,0,haru,j,,,na
230731-114522,msf,haru,,m,0,hegr,u,,,na
230731-114522,msf,haru,,m,0,xigu,u,,,na
230801-074612,msf,myle,,f,1,myhy,m,7,,na
230801-074612,msf,myle,,f,1,myhy,f,18,,na
230801-074612,msf,myle,,f,1,cyar,u,11,,na
230801-083023,msf,thar,,m,0,haru,m,,,na
230801-083023,msf,thar,,m,0,myax,f,,,na
230801-083023,msf,thar,,m,0,cyar,u,,,na
230801-083023,msf,thar,,m,0,cyar,u,,,na
230801-091257,msf,xigu,,u,0,mylo,f,,,na
230801-091257,msf,xigu,,u,0,mylo,m,,,na
230801-091257,msf,xigu,,u,0,myhy,m,,,na
230801-091257,msf,xigu,,u,0,myax,f,,,na
230801-091257,msf,xigu,,u,0,cese,m,,,na
230801-105233,lek,pifa,,m,0,na,na,,,na
230802-124836,ssf,brcy,,u,0,bycy,u,0,c,2
230802-124836,ssf,brcy,,u,0,bycy,u,0,c,2
230802-124836,ssf,brcy,,u,0,bycy,u,0,c,2
230802-124836,ssf,brcy,,u,0,bycy,u,0,c,2
230802-124836,ssf,brcy,,u,0,bycy,u,0,c,2
230802-124836,ssf,brcy,,u,0,bycy,u,0,c,2
230802-124836,ssf,brcy,,u,0,bycy,u,0,c,2
230802-124836,ssf,brcy,,u,0,bycy,u,0,c,2
230802-124836,ssf,brcy,,u,0,bycy,u,0,c,2
230802-124836,ssf,brcy,,u,0,bycy,u,0,c,2
230802-124836,ssf,brcy,,u,0,bycy,u,0,c,2
230802-124836,ssf,brcy,,u,0,bycy,u,0,c,2
230802-124836,ssf,brcy,,u,0,bycy,u,0,c,2
230802-124836,ssf,brcy,,u,0,bycy,u,0,c,2
230802-124836,ssf,brcy,,u,0,bycy,u,0,c,2
230802-124836,ssf,brcy,,u,0,bycy,u,0,c,2
230802-124836,ssf,brcy,,u,0,bycy,u,0,c,2
230803-065040,solo,foan,,u,0,na,,,,na
230803-082550,lek,pifa,,m,0,pifa,m,3,s,4
230803-085033,pair,myax,,m,0,myax,f,6,,na
230803-092549,msf,myax,,m,1,myax,f,2,,na
230803-092549,msf,myax,,m,1,myhy,m,9,,na
230803-092549,msf,myax,,m,1,myhy,f,11,,na
230803-092549,msf,myax,,m,1,thsy,f,14,,na
230803-101025,solo,myhy,,m,0,na,,,,na
230803-112657,msf,haru,,m,1,haru,f,8,,na
230803-112657,msf,haru,,m,1,mylo,m,10,,na
230803-112657,msf,haru,,m,1,mylo,f,10,,na
230803-112657,msf,haru,,m,1,xigu,u,na,,na
230804-064210,solo,haru,,m,1,na,,,,na
230804-073331,solo,pifa,,m,0,na,,,,na
230804-083630,pair,myhy,,m,0,myhy,f,8,,na
230804-101041,msf,tach,,u,0,tasc,m,4,,na
230804-101041,msf,tach,,u,0,daca,u,6,,na
230804-101041,msf,tach,,u,0,tach,u,5,,na
230804-101041,msf,tach,,u,0,tach,u,8,,na
230805-071505,ssf,hyma,,u,0,hyma,u,8,,na
230805-071505,ssf,hyma,,u,0,hyma,u,8,,na
230805-071505,ssf,hyma,,u,0,hyma,u,8,,na
230805-074744,pair,onsa,,m,0,onsa,f,4,,na
230805-092801,msf,thar,,f,1,thar,m,9,,na
230805-092801,msf,thar,,f,1,xigu,u,16,,na
230805-092801,msf,thar,,f,1,mylo,u,18,,na
230805-121319,ssf,raca,,m,1,raca,u,8,,na
230805-121319,ssf,raca,,m,1,raca,u,8,,na
230805-121319,ssf,raca,,m,1,raca,u,8,,na
230805-134820,msf,thar,,f,1,thar,m,11,,na
